,kdRatio
1991,1.9142857142857144
910,5.060728744939271
796,1.4828897338403042
2014,2.3359375
2105,1.1923076923076923
739,4.007653061224491
3371,1.8923766816143497
511,2.8035413153457003
1275,1.6494252873563218
338,0.3561643835616438
1106,0.0
227,1.6905660377358491
3007,2.727272727272727
3064,0.2549019607843137
281,1.9628252788104088
2389,1.1560509554140128
3314,2.495049504950495
2587,305.0
1615,0.9454545454545454
1159,1.8881431767337808
1720,1.808333333333333
2635,3.494155154091392
448,2.7326203208556152
287,0.9479166666666666
1961,1.462797619047619
593,1.3519417475728157
1608,1.0
1708,0.4778225806451613
1852,2.4833333333333334
1526,1.5863377609108158
3589,2.028985507246377
1087,2.2606060606060607
3335,2.6851780926847946
3292,2.137839628893307
831,2.533333333333333
1022,2.5105105105105103
953,2.8846153846153846
2409,2.1846209648168298
23,3.453892215568862
1825,1.9293680297397768
2216,5.03125
2851,1.5338645418326693
1954,29.5
3560,0.0
1749,3.3905325443786984
2984,0.0
650,1.5583333333333331
1452,1.6415094339622642
27,5.560869565217391
2242,0.6806806806806807
2459,1.740225890529974
942,1.3825136612021858
1205,1.9307116104868915
3253,1.9147286821705427
3023,0.0
171,1.4485294117647058
867,1.7089678510998307
438,26.055555555555557
2303,1.1916890080428957
732,2.6993464052287583
2933,1.68
2060,1.9423076923076923
500,4.741379310344827
1010,1.1276978417266188
1031,2.1179458239277653
1850,2.0134615384615384
3378,0.5578947368421052
760,3.975862068965517
2685,1.4080459770114941
710,0.0
3308,0.9976275207591934
2646,0.0
3592,1.404040404040404
723,2.9855072463768115
119,2.8375
727,2.5551075268817205
2550,303.3333333333333
1604,1.371900826446281
174,3.9418604651162794
2703,2.0122249388753057
1074,2.3457364341085265
2268,0.4693877551020408
771,1.2693498452012384
362,2.2805555555555554
1091,3.044117647058824
2458,3.0595238095238093
113,7.886666666666668
2313,0.4341736694677871
3514,1.8556962025316448
87,1.0
210,0.0
359,1.1983471074380163
3367,1.6288659793814433
2055,1.6807628524046434
124,3.518987341772152
164,1.1347708894878703
2792,1.1855203619909502
2003,1.2063492063492065
3564,0.0
1527,1.5347222222222223
2153,2.638968481375358
2901,1.8757016840417
1897,2.8640611724723875
636,2.1294363256784967
2621,1.8165322580645158
2168,1.2520325203252032
1470,1.7422969187675068
1299,1.2206572769953052
3087,1.9986320109439124
2701,0.0
1702,1.1634615384615383
1832,1.1521739130434785
2734,2.6448598130841123
2614,2.318982387475538
1785,0.9906832298136646
2535,0.0
1909,0.0
1269,1.4415584415584417
684,1.8955696202531649
3604,1.3317725752508358
2190,1.7328519855595668
1667,3.0
2377,29.11111111111111
1253,2.8955637707948245
2300,0.0
2552,38.66666666666666
642,2.5998201438848922
3242,2.8181818181818183
213,2.9444444444444446
2991,0.0
1315,1.1977124183006536
2251,0.0
2717,0.0
259,2.2557840616966582
1210,1.4972527472527473
1278,0.3888888888888889
3158,2.0212765957446805
494,9.169230769230767
100,4.666666666666667
639,1.8951048951048952
2437,1.7545454545454546
3305,3.2711864406779663
1777,1.5
2013,2.2857142857142856
297,1.7334200260078023
1858,2.201680672268908
1879,2.2089552238805967
251,1.8567073170731707
2687,2.4285714285714284
260,1.608534322820037
1239,3.1742424242424243
1423,2.0
264,1.9159663865546217
339,0.08235294117647059
3171,2.7109826589595376
591,4.017341040462428
1114,0.9806451612903224
891,0.0
3173,3.2758620689655173
219,0.6559139784946236
1924,2.513227513227513
3349,2.448087431693989
618,1.1607142857142858
3135,1.3436241610738255
3488,0.4153846153846154
138,6.799212598425197
325,0.0
1849,2.058279370952821
2912,1.779600357888458
2403,2.113924050632912
2845,1.5126475548060707
557,0.5942028985507246
3240,0.0
2699,3.0823529411764707
2455,1.9648058252427183
276,1.76661514683153
1955,2.0083945435466948
788,1.358649789029536
2756,0.0
1812,2.1390845070422535
419,1.933333333333333
1784,1.4
1447,0.0
2106,0.25
2584,0.0
3092,2.1419141914191417
2644,3.0588235294117645
2272,0.0
1975,9.5
204,1.5168067226890756
192,1.7238542890716804
73,19.5
404,2.212681436210848
646,1.173913043478261
1592,1.1829896907216495
3345,2.1683848797250858
2358,3.4714828897338403
2817,1.3827160493827158
845,1.7906976744186047
1012,1.9417927823050056
2264,1.0074257425742574
1395,1.1224489795918366
1365,5.056603773584905
2226,0.8832236842105263
2824,0.8345070422535211
2928,1.8911764705882352
224,2.049504950495049
1613,1.248031496062992
2006,1.9215686274509804
2810,5.5
3112,2.2664233576642334
2221,0.0
3066,2.150537634408602
334,1.9629629629629632
2608,2.352
2001,1.3657858136300418
2480,3.0815217391304346
2265,1.2448036951501156
1997,1.2352941176470589
2212,0.0
2496,1.255278310940499
2315,2.892116182572614
1568,1.252808988764045
2068,1.2556002297530156
761,4.6923076923076925
490,0.0
803,1.976426799007444
1043,2.2596153846153846
619,2.75
2414,0.0
2228,2.0089086859688194
2731,1.6463178294573644
1691,1.588785046728972
621,1.6909667194928684
3638,0.0
824,1.4180790960451977
2076,1.6435845213849287
2037,2.5
1748,3.5365853658536586
2940,1.7322834645669292
1844,2.0079042939542835
1916,2.876146788990826
1560,0.870020964360587
3398,0.5918153200419727
2618,1.5369458128078817
