,hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,ranking
167,1041.0,920.0,8.214285714285714,153.0,0.1820248295156496,5719.0,112.0,iw8_lm_lima86,weapon_lmg,easyB%2321571,battle,3
168,2065.0,1278.0,7.261363636363638,225.0,0.14491228070175438,14250.0,176.0,iw8_lm_pkilo,weapon_lmg,easyB%2321571,battle,3
169,3154.0,1197.0,4.2,303.0,0.1983398314677399,15902.0,285.0,iw8_lm_mgolf36,weapon_lmg,easyB%2321571,battle,3
170,204.0,454.0,2.8375,6.0,0.23103057757644396,883.0,160.0,iw8_la_gromeo,weapon_launcher,easyB%2321571,battle,3
171,263.0,1167.0,2.2442307692307693,14.0,0.09701217263002583,2711.0,520.0,iw8_la_rpapa7,weapon_launcher,easyB%2321571,battle,3
172,98.0,348.0,1.3540856031128403,0.0,0.0986908358509567,993.0,257.0,iw8_la_juliet,weapon_launcher,easyB%2321571,battle,3
173,194.0,291.0,1.1926229508196722,0.0,0.2348668280871671,826.0,244.0,iw8_la_kgolf,weapon_launcher,easyB%2321571,battle,3
174,0.0,1.0,1.0,0.0,0.0,27.0,0.0,iw8_la_mike32,weapon_launcher,easyB%2321571,battle,3
175,934.0,834.0,3.5189873417721516,221.0,0.4931362196409715,1894.0,237.0,iw8_pi_cpapa,weapon_pistol,easyB%2321571,battle,3
176,2054.0,819.0,2.353448275862069,157.0,0.2829980710939653,7258.0,348.0,iw8_pi_mike9,weapon_pistol,easyB%2321571,battle,3
177,1523.0,765.0,3.0118110236220472,150.0,0.3273860705073087,4652.0,254.0,iw8_pi_mike1911,weapon_pistol,easyB%2321571,battle,3
178,5833.0,1846.0,2.6,405.0,0.31924908324667506,18271.0,710.0,iw8_pi_golf21,weapon_pistol,easyB%2321571,battle,3
179,5432.0,3910.0,2.344124700239808,1341.0,0.42613948380010985,12747.0,1668.0,iw8_pi_decho,weapon_pistol,easyB%2321571,battle,3
180,2804.0,1247.0,2.728665207877462,355.0,0.29466162253047495,9516.0,457.0,iw8_pi_papa320,weapon_pistol,easyB%2321571,battle,3
181,2338.0,1315.0,7.96969696969697,171.0,0.32772638071208304,7134.0,165.0,iw8_ar_falima,weapon_assault_rifle,easyB%2321571,battle,3
