,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
2248,1.0,3.0,0.0,0.043478260869565216,23.0,6.0,iw8_la_kgolf,Toxicdeath88,33,0,1,0,0,0,0,0,0,0,0,0,1,0
2249,4917.0,1902.0,444.0,0.29704585271551986,16553.0,508.0,iw8_ar_falima,oracle%2321895,14,1,0,0,0,0,0,0,0,0,0,1,0,0
2250,5041.0,829.0,299.0,0.23771574082806754,21206.0,569.0,iw8_sm_papa90,johnnylatenight,64,0,0,0,0,0,0,0,0,1,0,0,0,1
2251,5.0,432.0,0.0,0.11627906976744184,43.0,311.0,iw8_la_kgolf,PumpleX%232257,45,0,1,0,0,0,0,0,0,0,0,1,0,0
2252,6170.0,1525.0,333.0,0.2537319570670724,24317.0,968.0,iw8_sm_beta,Mephitz%2311649,29,0,0,0,0,0,0,0,0,1,0,1,0,0
2253,3259.0,1361.0,234.0,0.2496170343137255,13056.0,677.0,iw8_ar_asierra12,Pvt74thva,52,1,0,0,0,0,0,0,0,0,0,0,1,0
2254,38.0,34.0,13.0,0.3015873015873016,126.0,31.0,iw8_sn_delta,caa%2311577,26,0,0,0,0,0,0,0,0,0,1,1,0,0
2255,643.0,212.0,62.0,0.42053629823413996,1529.0,63.0,iw8_pi_mike1911,cheesepufftyler,36,0,0,0,0,0,0,1,0,0,0,0,1,0
2256,2386.0,1709.0,488.0,0.22135634103349106,10779.0,1447.0,iw8_pi_golf21,GodlyAcez-,23,0,0,0,0,0,0,1,0,0,0,0,1,0
2257,454.0,94.0,28.0,0.2662756598240469,1705.0,47.0,iw8_sm_victor,ImArmanIII,56,0,0,0,0,0,0,0,0,1,0,0,1,0
2258,5291.0,1219.0,328.0,0.22292913120417965,23734.0,1227.0,iw8_sm_mpapa7,HighTechWarfare,41,0,0,0,0,0,0,0,0,1,0,0,1,0
2259,685.0,172.0,74.0,0.2999124343257443,2284.0,56.0,iw8_sm_augolf,Bdubzs%231713,8,0,0,0,0,0,0,0,0,1,0,1,0,0
2260,100.0,209.0,10.0,0.1949317738791423,513.0,216.0,iw8_la_kgolf,Hfe-,53,0,1,0,0,0,0,0,0,0,0,0,1,0
2261,85.0,110.0,33.0,0.3159851301115242,269.0,51.0,iw8_sn_xmike109,Bdongowns,54,0,0,0,0,0,0,0,0,0,1,0,0,1
2262,8675.0,2223.0,354.0,0.26824366110080394,32340.0,1881.0,iw8_sm_uzulu,willjopp,38,0,0,0,0,0,0,0,0,1,0,0,1,0
2263,1336.0,695.0,246.0,0.2933040614709111,4555.0,325.0,iw8_sn_mike14,AtomicCow_,57,0,0,0,1,0,0,0,0,0,0,0,1,0
2264,805.0,617.0,76.0,0.6833616298811545,1178.0,342.0,iw8_sh_charlie725,Los_Blancos44,34,0,0,0,0,0,0,0,1,0,0,0,1,0
2265,5335.0,1178.0,282.0,0.2357281724991163,22632.0,525.0,iw8_ar_sierra552,Damage decrease,19,1,0,0,0,0,0,0,0,0,0,0,0,1
2266,1049.0,541.0,103.0,0.12772433946182882,8213.0,371.0,iw8_lm_mgolf34,yungswagboi%231286,51,0,0,1,0,0,0,0,0,0,0,1,0,0
2267,18467.0,4671.0,866.0,0.2901928123575907,63637.0,2932.0,iw8_sm_beta,BLVD POOCH,16,0,0,0,0,0,0,0,0,1,0,0,0,1
2268,435.0,465.0,96.0,0.4146806482364157,1049.0,605.0,iw8_sn_hdromeo,ccCloudcc,42,0,0,0,0,0,0,0,0,0,1,0,1,0
2269,790.0,374.0,73.0,0.3267162944582299,2418.0,138.0,iw8_pi_golf21,ryva1%232844,50,0,0,0,0,0,0,1,0,0,0,1,0,0
2270,2312.0,1928.0,211.0,0.17876749400757752,12933.0,600.0,iw8_ar_asierra12,JIIIlllIII%231953,35,1,0,0,0,0,0,0,0,0,0,1,0,0
2271,176.0,145.0,0.0,0.2724458204334365,646.0,214.0,iw8_la_juliet,HighTechWarfare,41,0,1,0,0,0,0,0,0,0,0,0,1,0
2272,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_mike32,vGrimr,40,0,1,0,0,0,0,0,0,0,0,0,0,1
2273,0.0,0.0,0.0,0.0,0.0,0.0,iw8_lm_mkilo3,sahoka%2311682,37,0,0,1,0,0,0,0,0,0,0,1,0,0
2274,0.0,149.0,0.0,0.0,0.0,75.0,iw8_me_akimboblades,sahoka%2311682,37,0,0,0,0,1,0,0,0,0,0,1,0,0
2275,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_mike32,Slzzpe-ttv,20,0,1,0,0,0,0,0,0,0,0,0,1,0
2276,1.0,1.0,0.0,0.3333333333333333,3.0,0.0,iw8_la_gromeo,cheesepufftyler,36,0,1,0,0,0,0,0,0,0,0,0,1,0
2277,1854.0,918.0,118.0,0.13922054516783058,13317.0,535.0,iw8_lm_pkilo,D35tr0y3rx2002,59,0,0,1,0,0,0,0,0,0,0,0,1,0
2278,1017.0,812.0,144.0,0.6975308641975309,1458.0,468.0,iw8_sh_romeo870,Skyler Hacks V3,60,0,0,0,0,0,0,0,1,0,0,0,0,1
2279,5271.0,1486.0,242.0,0.25047519482988023,21044.0,972.0,iw8_sm_uzulu,Attacking,28,0,0,0,0,0,0,0,0,1,0,0,0,1
2280,1086.0,654.0,234.0,0.3862019914651494,2812.0,626.0,iw8_pi_cpapa,johnnylatenight,64,0,0,0,0,0,0,1,0,0,0,0,0,1
2281,171.0,84.0,10.0,0.6240875912408759,274.0,66.0,iw8_sh_mike26,johnnylatenight,64,0,0,0,0,0,0,0,1,0,0,0,0,1
2282,730.0,799.0,207.0,0.3856312731114633,1893.0,541.0,iw8_sn_alpha50,DarkestClover,66,0,0,0,0,0,0,0,0,0,1,0,1,0
2283,354.0,414.0,80.0,0.3907284768211921,906.0,160.0,iw8_sn_xmike109,HanzLuger,61,0,0,0,0,0,0,0,0,0,1,0,1,0
2284,455.0,620.0,197.0,0.2937378954163977,1549.0,191.0,iw8_sn_xmike109,CheekSlapper%231799,25,0,0,0,0,0,0,0,0,0,1,1,0,0
2285,513.0,273.0,111.0,0.3825503355704698,1341.0,89.0,iw8_sn_mike14,Slzzpe-ttv,20,0,0,0,1,0,0,0,0,0,0,0,1,0
2286,5249.0,1006.0,239.0,0.30428985507246376,17250.0,719.0,iw8_sm_mpapa7,Vegeta%2312910,7,0,0,0,0,0,0,0,0,1,0,1,0,0
2287,1881.0,409.0,85.0,0.3213736545361353,5853.0,179.0,iw8_sm_charlie9,Christian524524,31,0,0,0,0,0,0,0,0,1,0,0,1,0
2288,0.0,5.0,0.0,0.0,0.0,125.0,iw8_me_riotshield,dtownjvr214,46,0,0,0,0,0,1,0,0,0,0,0,1,0
2289,2129.0,388.0,89.0,0.27800992426220944,7658.0,210.0,iw8_sm_victor,vGrimr,40,0,0,0,0,0,0,0,0,1,0,0,0,1
2290,4342.0,909.0,199.0,0.24861150873174925,17465.0,340.0,iw8_lm_kilo121,HanzLuger,61,0,0,1,0,0,0,0,0,0,0,0,1,0
2291,1696.0,600.0,353.0,0.3237259018896736,5239.0,35.0,iw8_sm_smgolf45,PumpleX%232257,45,0,0,0,0,0,0,0,0,1,0,1,0,0
2292,1001.0,811.0,85.0,0.6491569390402075,1542.0,572.0,iw8_sh_romeo870,caa%2311577,26,0,0,0,0,0,0,0,1,0,0,1,0,0
2293,169.0,125.0,3.0,0.35135135135135137,481.0,124.0,iw8_la_gromeo,Bdongowns,54,0,1,0,0,0,0,0,0,0,0,0,0,1
2294,41.0,184.0,0.0,0.06743421052631579,608.0,131.0,iw8_la_juliet,dtownjvr214,46,0,1,0,0,0,0,0,0,0,0,0,1,0
2295,523.0,122.0,19.0,0.18166029871483155,2879.0,67.0,iw8_lm_mkilo3,b Supreme d,13,0,0,1,0,0,0,0,0,0,0,0,0,1
2296,320.0,429.0,244.0,0.5776173285198556,554.0,82.0,iw8_sn_delta,Exeury,43,0,0,0,0,0,0,0,0,0,1,0,1,0
2297,1499.0,318.0,50.0,0.2856870592719649,5247.0,179.0,iw8_sm_charlie9,cstt v,11,0,0,0,0,0,0,0,0,1,0,0,0,1
2298,3861.0,851.0,162.0,0.2594758064516129,14880.0,632.0,iw8_sm_augolf,yungswagboi%231286,51,0,0,0,0,0,0,0,0,1,0,1,0,0
2299,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_galima,cheesepufftyler,36,1,0,0,0,0,0,0,0,0,0,0,1,0
