,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
414,-0.19201331852732478,0.41762242753306655,2.306923655171759,0.934818090692778,-0.24780332496717908,-0.42471104786627056,iw8_lm_mgolf34,L_fras,47,0,0,1,0,0,0,0,0,0,0,0,1,0
415,-0.30214921656654525,-0.21323825500091448,-0.2365257259097607,2.412193937133931,-0.32188734757807347,-0.19765100613397796,iw8_sh_romeo870,Iwakrawi,39,0,0,0,0,0,0,0,1,0,0,0,1,0
416,-0.16144410273297422,0.07009939836875997,0.929756758854368,0.10983924184195276,-0.17092467374533996,-0.10726788272597798,iw8_sm_smgolf45,HighTechWarfare,41,0,0,0,0,0,0,0,0,1,0,0,1,0
417,0.36018379231105035,0.154497848308663,0.10822444254252894,-0.1172625970550449,0.3445788472905382,0.00809919349398947,iw8_sm_mpapa5,carrypotter%2311124,27,0,0,0,0,0,0,0,0,1,0,1,0,0
418,0.2786658835261155,0.9981277323718114,0.7372101222187807,1.4267979846555714,-0.059983190775004185,1.6364650591210461,iw8_pi_cpapa,Hfe-,53,0,0,0,0,0,0,1,0,0,0,0,1,0
419,-0.36545567764420744,-0.35685746603310237,-0.414402142611208,0.15624005534424823,-0.3340677100144554,-0.3438806122981405,iw8_sn_xmike109,AtomicCow_,57,0,0,0,0,0,0,0,0,0,1,0,1,0
420,-0.3799814752202464,-0.4086313050718664,-0.46391413488893046,-0.3709830335068746,-0.3437961813110461,-0.42618069214932747,iw8_lm_mgolf36,Attacking,28,0,0,1,0,0,0,0,0,0,0,0,0,1
421,-0.2648591093564155,-0.21642979302385199,-0.3483861529075781,1.8562303531637652,-0.30330043087320496,-0.17119740903895356,iw8_sh_dpapa12,Bdongowns,22,0,0,0,0,0,0,0,1,0,0,0,0,1
422,-0.38410073124927235,-0.4121774584306859,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.4291199807154413,iw8_ar_anovember94,Shoe kit,48,1,0,0,0,0,0,0,0,0,0,0,0,1
423,-0.33250162941199973,-0.29657285893317165,-0.3337159329734381,-0.10711590477935262,-0.3008221753125558,-0.27774661956057956,iw8_pi_mike1911,carrypotter%2311124,27,0,0,0,0,0,0,1,0,0,0,1,0,0
424,-0.28209494379365574,-0.1199744216639628,-0.2365257259097607,2.333936365593517,-0.3146898606838478,-0.17781080831270965,iw8_sh_charlie725,JIIIlllIII%231953,35,0,0,0,0,0,0,0,1,0,0,1,0,0
425,-0.037541217438851186,-0.18806056615329633,-0.2640323882862732,-0.03355908098584977,-0.04456000457309201,-0.18001527473729503,iw8_sm_charlie9,Pvt74thva,52,0,0,0,0,0,0,0,0,1,0,0,1,0
426,-0.38030667964359055,-0.3777797708501372,-0.46574791238069796,-0.7373683634667084,-0.3420034006927042,-0.36812974296857953,iw8_la_rpapa7,itsdrewjitsu,63,0,1,0,0,0,0,0,0,0,0,0,1,0
427,-0.3222034893394348,-0.11288211494632389,-0.1283328538954783,0.05877528864452015,-0.29750025828445165,-0.10065448345222187,iw8_sn_alpha50,Bdongowns,54,0,0,0,0,0,0,0,0,0,1,0,0,1
428,-0.21412721931472734,-0.24373517388676177,-0.26769994326980817,0.3393240754584433,-0.23011279857148154,-0.04260353427147393,iw8_pi_mike1911,winters%2311808,62,0,0,0,0,0,0,1,0,0,0,1,0,0
429,-0.282745352640344,0.04350324817761407,3.157052824655633e-05,0.13890152883850623,-0.26913214144127645,1.614993717646517e-05,iw8_sn_alpha50,Papadogethan,30,0,0,0,0,0,0,0,0,0,1,0,0,1
430,-0.38410073124927235,-0.4121774584306859,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.4291199807154413,iw8_sn_hdromeo,Gamer52595,65,0,0,0,0,0,0,0,0,0,1,0,1,0
431,-0.38410073124927235,-0.4121774584306859,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.4291199807154413,iw8_sm_charlie9,dekro%232100,58,0,0,0,0,0,0,0,0,1,0,1,0,0
432,0.6150356587384198,0.3183301334861218,0.531827043140821,-0.5309557342246441,0.9905598871525076,0.3262771807758105,iw8_lm_pkilo,Iwakrawi,39,0,0,1,0,0,0,0,0,0,0,0,1,0
433,-0.3787890590013178,-0.398702075667172,-0.454745247430093,1.291571492069921,-0.3460898859256895,-0.4210369371586283,iw8_sh_oscar12,dekro%232100,58,0,0,0,0,0,0,0,1,0,0,1,0,0
434,-0.34063173999560364,-0.3823897702166025,-0.425404807561813,-0.5276442186898764,-0.2904609579153738,-0.3923788736390185,iw8_lm_mgolf36,Bdongowns,22,0,0,1,0,0,0,0,0,0,0,0,0,1
