hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,headShots
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,weapon_melee,Tequim%231698,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,weapon_melee,Tequim%231698,battle,
0.0,61.0,0.6559139784946236,0.0,0.0,0.0,93.0,iw8_knife,weapon_melee,Tequim%231698,battle,
1160.0,1224.0,2.125,170.0,0.3993115318416523,2905.0,576.0,iw8_sn_alpha50,weapon_sniper,vengefulxz%232126,battle,
535.0,539.0,1.344139650872818,106.0,0.48111510791366907,1112.0,401.0,iw8_sn_hdromeo,weapon_sniper,vengefulxz%232126,battle,
765.0,565.0,1.765625,124.0,0.46167773083886543,1657.0,320.0,iw8_sn_delta,weapon_sniper,vengefulxz%232126,battle,
10.0,10.0,1.6666666666666667,0.0,0.30303030303030304,33.0,6.0,iw8_sn_xmike109,weapon_sniper,vengefulxz%232126,battle,
0.0,0.0,,,,0.0,0.0,equip_gas_grenade,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_snapshot_grenade,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_decoy,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_smoke,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_concussion,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_hb_sensor,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_flash,tacticals,vengefulxz%232126,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_adrenaline,tacticals,vengefulxz%232126,battle,0.0
0.0,100.0,,,,0.0,0.0,equip_frag,lethals,vengefulxz%232126,battle,0.0
0.0,21.0,,,,0.0,0.0,equip_thermite,lethals,vengefulxz%232126,battle,0.0
0.0,269.0,,,,0.0,0.0,equip_semtex,lethals,vengefulxz%232126,battle,0.0
0.0,193.0,,,,0.0,0.0,equip_claymore,lethals,vengefulxz%232126,battle,0.0
0.0,2664.0,,,,0.0,0.0,equip_c4,lethals,vengefulxz%232126,battle,0.0
0.0,66.0,,,,0.0,0.0,equip_at_mine,lethals,vengefulxz%232126,battle,0.0
0.0,174.0,,,,0.0,0.0,equip_throwing_knife,lethals,vengefulxz%232126,battle,0.0
0.0,54.0,,,,0.0,0.0,equip_molotov,lethals,vengefulxz%232126,battle,0.0
6393.0,1449.0,2.0495049504950495,336.0,0.2683315844700944,23825.0,707.0,iw8_lm_kilo121,weapon_lmg,vengefulxz%232126,battle,
12.0,2.0,2.0,0.0,0.23529411764705882,51.0,0.0,iw8_lm_mkilo3,weapon_lmg,vengefulxz%232126,battle,
1902.0,892.0,1.5676625659050967,140.0,0.19681291390728478,9664.0,569.0,iw8_lm_mgolf34,weapon_lmg,vengefulxz%232126,battle,
1185.0,896.0,1.6905660377358491,90.0,0.18183213134878012,6517.0,530.0,iw8_lm_lima86,weapon_lmg,vengefulxz%232126,battle,
2725.0,731.0,1.5520169851380043,131.0,0.1779069008291441,15317.0,471.0,iw8_lm_pkilo,weapon_lmg,vengefulxz%232126,battle,
0.0,0.0,0.0,0.0,0.0,4.0,0.0,iw8_lm_mgolf36,weapon_lmg,vengefulxz%232126,battle,
228.0,232.0,0.8787878787878788,2.0,0.3085250338294993,739.0,264.0,iw8_la_gromeo,weapon_launcher,vengefulxz%232126,battle,
117.0,346.0,1.193103448275862,2.0,0.10474485228290063,1117.0,290.0,iw8_la_rpapa7,weapon_launcher,vengefulxz%232126,battle,
117.0,132.0,0.4647887323943662,0.0,0.22328244274809161,524.0,284.0,iw8_la_juliet,weapon_launcher,vengefulxz%232126,battle,
115.0,179.0,0.6884615384615385,5.0,0.2113970588235294,544.0,260.0,iw8_la_kgolf,weapon_launcher,vengefulxz%232126,battle,
0.0,0.0,0.0,0.0,0.0,10.0,0.0,iw8_la_mike32,weapon_launcher,vengefulxz%232126,battle,
914.0,541.0,1.6295180722891567,227.0,0.5055309734513275,1808.0,332.0,iw8_pi_cpapa,weapon_pistol,vengefulxz%232126,battle,
2646.0,778.0,2.0103359173126614,130.0,0.3304195804195804,8008.0,387.0,iw8_pi_mike9,weapon_pistol,vengefulxz%232126,battle,
1461.0,392.0,1.1395348837209303,74.0,0.3553879834590124,4111.0,344.0,iw8_pi_mike1911,weapon_pistol,vengefulxz%232126,battle,
1326.0,398.0,2.1748633879781423,74.0,0.35051546391752575,3783.0,183.0,iw8_pi_golf21,weapon_pistol,vengefulxz%232126,battle,
1867.0,833.0,1.2470059880239521,292.0,0.3918153200419727,4765.0,668.0,iw8_pi_decho,weapon_pistol,vengefulxz%232126,battle,
1344.0,390.0,1.7333333333333334,83.0,0.3743732590529248,3590.0,225.0,iw8_pi_papa320,weapon_pistol,vengefulxz%232126,battle,
2966.0,989.0,1.7504424778761063,169.0,0.28552175587216017,10388.0,565.0,iw8_ar_falima,weapon_assault_rifle,vengefulxz%232126,battle,
4304.0,945.0,2.5335120643431637,105.0,0.32117006193567643,13401.0,373.0,iw8_ar_tango21,weapon_assault_rifle,vengefulxz%232126,battle,
29982.0,6223.0,2.346530920060332,1355.0,0.2861232786509777,104787.0,2652.0,iw8_ar_mike4,weapon_assault_rifle,vengefulxz%232126,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_anovember94,weapon_assault_rifle,vengefulxz%232126,battle,
3212.0,972.0,2.0549682875264272,328.0,0.26386264684137023,12173.0,473.0,iw8_ar_falpha,weapon_assault_rifle,vengefulxz%232126,battle,
10387.0,1983.0,2.3920386007237635,705.0,0.3103190726577438,33472.0,829.0,iw8_ar_mcharlie,weapon_assault_rifle,vengefulxz%232126,battle,
36820.0,11037.0,3.0864093959731544,1767.0,0.29906268782793743,123118.0,3576.0,iw8_ar_akilo47,weapon_assault_rifle,vengefulxz%232126,battle,
4875.0,1079.0,2.0168224299065423,154.0,0.2803335250143761,17390.0,535.0,iw8_ar_kilo433,weapon_assault_rifle,vengefulxz%232126,battle,
2675.0,723.0,1.9487870619946093,144.0,0.29340791927169024,9117.0,371.0,iw8_ar_scharlie,weapon_assault_rifle,vengefulxz%232126,battle,
2577.0,1021.0,2.0460921843687374,159.0,0.2714345902675374,9494.0,499.0,iw8_ar_asierra12,weapon_assault_rifle,vengefulxz%232126,battle,
2329.0,609.0,1.8567073170731707,75.0,0.2955208729856617,7881.0,328.0,iw8_ar_galima,weapon_assault_rifle,vengefulxz%232126,battle,
19110.0,3399.0,2.063752276867031,522.0,0.35292162222058066,54148.0,1647.0,iw8_ar_sierra552,weapon_assault_rifle,vengefulxz%232126,battle,
0.0,361.0,0.6889312977099237,0.0,0.0,0.0,524.0,iw8_me_riotshield,weapon_other,vengefulxz%232126,battle,
45.0,32.0,1.3333333333333333,1.0,0.5487804878048781,82.0,24.0,iw8_sh_mike26,weapon_shotgun,vengefulxz%232126,battle,
1327.0,888.0,2.5517241379310347,106.0,0.8278228321896444,1603.0,348.0,iw8_sh_charlie725,weapon_shotgun,vengefulxz%232126,battle,
1675.0,735.0,2.340764331210191,74.0,0.6474681097796676,2587.0,314.0,iw8_sh_oscar12,weapon_shotgun,vengefulxz%232126,battle,
1741.0,1378.0,1.8083989501312336,163.0,0.6403089371092313,2719.0,762.0,iw8_sh_romeo870,weapon_shotgun,vengefulxz%232126,battle,
1417.0,766.0,2.5966101694915253,135.0,0.6505968778696052,2178.0,295.0,iw8_sh_dpapa12,weapon_shotgun,vengefulxz%232126,battle,
8411.0,1755.0,2.2557840616966582,609.0,0.2634199812088945,31930.0,778.0,iw8_sm_mpapa7,weapon_smg,vengefulxz%232126,battle,
